Time,values
01/04/1992,4612.97
01/06/1992,4692.17
01/07/1992,4718.81
01/08/1992,4772.61
01/09/1992,4803.51
01/10/1992,4782.82
01/11/1992,4856.82
01/13/1992,4904.43
01/14/1992,4947.16
01/15/1992,4939.07
01/16/1992,5022.96
01/17/1992,5045.94
01/18/1992,4964.22
01/20/1992,5102.64
01/21/1992,5135.35
01/22/1992,5131.42
01/23/1992,5122.01
01/24/1992,5243.60
01/25/1992,5298.99
01/27/1992,5341.49
01/28/1992,5312.67
01/29/1992,5390.05
01/30/1992,5391.63
02/07/1992,5237.37
02/08/1992,5217.63
02/10/1992,5204.55
02/11/1992,5072.04
02/12/1992,5061.60
02/13/1992,5088.10
02/14/1992,5023.41
02/15/1992,5026.43
02/17/1992,4859.48
02/18/1992,4766.91
02/19/1992,4839.42
02/20/1992,4995.32
02/21/1992,4950.37
02/22/1992,5074.80
02/24/1992,5070.24
02/25/1992,4987.73
02/26/1992,4951.50
02/27/1992,5019.22
02/28/1992,5031.69
03/02/1992,5144.37
03/03/1992,5056.64
03/04/1992,5066.40
03/05/1992,5033.53
03/06/1992,4988.08
03/07/1992,4986.53
03/09/1992,4923.03
03/10/1992,4926.20
03/11/1992,4965.48
03/12/1992,4984.86
03/13/1992,5030.63
03/14/1992,5029.61
03/16/1992,5012.96
03/17/1992,4890.32
03/18/1992,4851.95
03/19/1992,4810.23
03/20/1992,4818.18
03/21/1992,4745.03
03/23/1992,4685.16
03/24/1992,4790.10
03/25/1992,4721.25
03/26/1992,4792.54
03/27/1992,4817.35
03/28/1992,4833.47
03/31/1992,4800.94
04/01/1992,4676.48
04/02/1992,4733.96
04/06/1992,4652.10
04/07/1992,4613.74
04/08/1992,4552.46
04/09/1992,4528.05
04/10/1992,4563.85
04/11/1992,4487.62
04/13/1992,4405.44
04/14/1992,4461.98
04/15/1992,4439.66
04/16/1992,4538.52
04/17/1992,4503.22
04/18/1992,4527.81
04/20/1992,4547.74
04/21/1992,4556.09
04/22/1992,4505.07
04/23/1992,4470.31
04/24/1992,4480.12
04/25/1992,4441.57
04/27/1992,4486.45
04/28/1992,4523.95
04/29/1992,4513.19
04/30/1992,4496.19
05/02/1992,4532.53
05/04/1992,4539.47
05/05/1992,4536.53
05/06/1992,4482.25
05/07/1992,4481.29
05/08/1992,4462.61
05/09/1992,4428.97
05/11/1992,4268.17
05/12/1992,4289.24
05/13/1992,4326.38
05/14/1992,4300.60
05/15/1992,4292.46
05/16/1992,4356.07
05/18/1992,4437.63
05/19/1992,4500.82
05/20/1992,4560.00
05/21/1992,4563.67
05/22/1992,4623.94
05/23/1992,4637.59
05/25/1992,4634.33
05/26/1992,4540.00
05/27/1992,4541.38
05/28/1992,4501.02
05/29/1992,4519.27
05/30/1992,4496.58
06/01/1992,4456.85
06/02/1992,4468.94
06/03/1992,4583.97
06/04/1992,4586.61
06/08/1992,4565.04
06/09/1992,4526.65
06/10/1992,4633.80
06/11/1992,4597.19
06/12/1992,4681.07
06/13/1992,4676.13
06/15/1992,4672.49
06/16/1992,4637.78
06/17/1992,4603.90
06/18/1992,4628.78
06/19/1992,4587.85
06/20/1992,4618.02
06/22/1992,4697.66
06/23/1992,4690.48
06/24/1992,4655.08
06/25/1992,4565.01
06/26/1992,4501.97
06/27/1992,4496.44
06/29/1992,4467.50
06/30/1992,4523.81
07/03/1992,4455.98
07/04/1992,4489.63
07/06/1992,4511.97
07/07/1992,4432.22
07/08/1992,4329.31
07/09/1992,4337.99
07/10/1992,4316.79
07/11/1992,4384.52
07/13/1992,4312.38
07/14/1992,4307.69
07/15/1992,4352.51
07/16/1992,4349.68
07/17/1992,4282.60
07/18/1992,4248.55
07/20/1992,4147.59
07/21/1992,4159.02
07/22/1992,4154.80
07/23/1992,3978.87
07/24/1992,4022.16
07/25/1992,4018.85
07/27/1992,4008.22
07/28/1992,3959.10
07/29/1992,3947.32
07/30/1992,4029.53
07/31/1992,4108.52
08/01/1992,4101.84
08/03/1992,4072.08
08/04/1992,4088.18
08/05/1992,4134.91
08/06/1992,4122.78
08/07/1992,4082.90
08/08/1992,4030.73
08/10/1992,3951.73
08/11/1992,3958.28
08/12/1992,3901.61
08/13/1992,3893.34
08/14/1992,3914.90
08/15/1992,3926.38
08/17/1992,3784.48
08/18/1992,3772.91
08/19/1992,3733.93
08/20/1992,3733.06
08/21/1992,3866.22
08/22/1992,3822.81
08/24/1992,3850.68
08/25/1992,3816.38
08/26/1992,3793.03
08/27/1992,3800.97
08/28/1992,3852.45
08/31/1992,3946.35
09/01/1992,3960.45
09/02/1992,3933.61
09/03/1992,3888.49
09/07/1992,3852.27
09/08/1992,3758.38
09/09/1992,3770.12
09/10/1992,3785.50
09/14/1992,3685.04
09/15/1992,3716.72
09/16/1992,3664.52
09/17/1992,3441.69
09/18/1992,3437.60
09/19/1992,3569.93
09/21/1992,3481.90
09/22/1992,3524.75
09/23/1992,3529.42
09/24/1992,3540.48
09/25/1992,3472.50
09/26/1992,3351.63
09/29/1992,3397.29
09/30/1992,3524.21
10/01/1992,3584.08
10/02/1992,3717.71
10/03/1992,3704.25
10/05/1992,3720.45
10/06/1992,3562.87
10/07/1992,3592.12
10/08/1992,3688.21
10/09/1992,3622.75
10/12/1992,3602.83
10/13/1992,3602.96
10/14/1992,3633.22
10/15/1992,3729.02
10/16/1992,3707.18
10/17/1992,3749.32
10/19/1992,3734.51
10/20/1992,3724.17
10/21/1992,3694.38
10/22/1992,3699.23
10/23/1992,3662.60
10/24/1992,3670.90
10/27/1992,3647.97
10/28/1992,3670.90
10/29/1992,3640.90
10/30/1992,3631.73
11/02/1992,3559.51
11/03/1992,3559.66
11/04/1992,3506.05
11/05/1992,3593.41
11/06/1992,3532.61
11/07/1992,3535.78
11/09/1992,3530.14
11/10/1992,3534.53
11/11/1992,3570.89
11/13/1992,3555.51
11/14/1992,3573.09
11/16/1992,3588.44
11/17/1992,3583.71
11/18/1992,3660.10
11/19/1992,3682.38
11/20/1992,3724.33
11/21/1992,3711.71
11/23/1992,3698.51
11/24/1992,3687.22
11/25/1992,3673.51
11/26/1992,3676.56
11/27/1992,3681.94
11/28/1992,3686.14
11/30/1992,3675.01
12/01/1992,3646.76
12/02/1992,3635.70
12/03/1992,3614.08
12/04/1992,3651.39
12/05/1992,3727.95
12/07/1992,3755.77
12/08/1992,3761.01
12/09/1992,3776.55
12/10/1992,3746.75
12/11/1992,3734.30
12/12/1992,3742.61
12/14/1992,3696.76
12/15/1992,3688.26
12/16/1992,3674.92
12/17/1992,3668.67
12/18/1992,3657.99
12/21/1992,3576.09
12/22/1992,3579.97
12/23/1992,3448.15
12/24/1992,3456.00
12/28/1992,3327.67
12/29/1992,3377.06
