DATA,RES65,PM10,so2,co,o3,no2
1997-01-01,11,36841,11326,1.7133,68952,42535
1997-01-02,3,33634,16284,1.6083,52.48,57.02
1997-01-03,11,35319,17.21,1.8983,45.18,61838
1997-01-04,8,29742,16.0025,1675,117338,78.51
1997-01-05,11,43343,21.3,2012,156.02,82008
1997-01-06,11,43787,26735,2458,126133,135.51
1997-01-07,8,51858,31955,3228,94912,159426
1997-01-08,7,53457,29954,3966,67183,182.9
1997-01-09,9,41771,27486,3.7217,76266,131714
1997-01-10,11,54352,32566,4.5267,38628,113142
1997-01-11,7,33294,21862,3.7667,48515,82892
1997-01-12,8,35838,20784,3.4433,61858,76064
1997-01-13,6,39794,23302,3.9433,50.54,95604
1997-01-14,10,53626,24152,3825,64.6,118452
1997-01-15,4,54672,27838,3.7017,107893,155678
1997-01-16,10,43894,25394,4.0917,21637,131.31
1997-01-17,7,36534,22.7,2.4117,39886,68772
1997-01-18,9,39015,19028,1.79,92622,77402
1997-01-19,10,31412,14.42,2.0183,56828,63394
1997-01-20,13,39.82,18822,3.1567,48303,98624
1997-01-21,6,43209,15.21,3378,43787,129275
1997-01-22,11,43247,13.0625,3.94,43.88,106215
1997-01-23,11,40885,11.24,3308,53487,98.33
1997-01-24,10,42229,12945,3.5017,32023,94417
1997-01-25,7,34797,8.0575,3095,60868,79656
1997-01-26,4,30.97,11892,2.5386,54074,71.8
1997-01-27,10,42828,17208,3.8629,40282,94386
1997-01-28,5,46.9,15.04,3.5483,45657,85477
1997-01-29,8,56243,17.3675,4.0517,47127,92612
1997-01-30,7,58775,28402,4.14,52384,110463
1997-01-31,7,40902,19.77,2862,45136,100272
1997-02-01,8,31632,12595,2.55,48225,55557
1997-02-02,6,28422,6.7067,2.3075,56623,57865
1997-02-03,7,42492,15.44,2.6433,55037,135895
1997-02-04,9,61359,21.12,3.31,78495,191.48
1997-02-05,8,68107,25.62,2.9533,122403,125.24
1997-02-06,11,73784,26185,3.2,121452,120.79
1997-02-07,12,79.42,31.57,2.7943,181802,158.18
1997-02-08,7,64553,19.3075,1.9514,146552,77.22
1997-02-09,8,48675,17.6925,2.0757,138304,104628
1997-02-10,9,58014,19.0675,2.5943,105984,135.39
1997-02-11,14,70038,25565,4.03,81558,110.4
1997-02-12,18,69538,26.0625,2.5786,132244,154863
1997-02-13,6,58008,29035,3.0929,77824,147322
1997-02-14,9,54687,26.9875,3.93,50.03,149183
1997-02-15,13,45952,19.1325,4.22,50958,125.59
1997-02-16,9,30475,13.2075,2.6829,45555,84.27
1997-02-17,5,39598,20.8275,3.29,60.87,133053
1997-02-18,7,41.73,23425,3.4757,34.8,103455
1997-02-19,7,48.33,25.8,4.1557,66735,108263
1997-02-20,6,45.82,23.8275,4.05,55552,100.14
1997-02-21,11,44978,19.57,3.2343,61903,93347
1997-02-22,11,55549,22735,2.6186,92658,104447
1997-02-23,11,55658,18.9625,3.1386,147915,148137
1997-02-24,8,50612,17.5675,2.65,68027,82594
1997-02-25,12,53903,20.5525,2.85,154487,181972
1997-02-26,12,58552,25.72,2.4571,169627,149.86
1997-02-27,9,48406,22174,2615,98222,122942
1997-02-28,8,39661,23.9475,2.46,42168,72154
1997-03-01,9,36589,20.4075,1.7571,54292,58236
1997-03-02,8,37515,12.4225,1.5471,82.98,64.45
1997-03-03,13,49673,22185,3.3586,98587,147982
1997-03-04,9,50577,27965,3.03,71675,155.13
1997-03-05,11,52924,26.7925,3.3814,46.97,128432
1997-03-06,10,55336,27.66,3.5267,34597,125.73
1997-03-07,13,61199,48925,3.9233,51682,150.69
1997-03-08,7,55063,34.62,2.79,127153,145354
1997-03-09,8,51705,29.66,2.0717,103658,83278
1997-03-10,10,49882,27.0633,2.8267,108845,120.46
1997-03-11,8,68641,40.7167,2.8643,138324,146688
1997-03-12,10,78967,48.25,4.2757,96198,160618
1997-03-13,8,84008,40.6975,3.8586,97264,186.34
1997-03-14,9,67739,29316,2.9729,136.61,146.88
1997-03-15,9,48783,17426,2.7171,53127,102892
1997-03-16,11,37093,12998,2.3,69738,66512
1997-03-17,13,35.88,16478,1.9714,47025,75402
1997-03-18,8,40.9,22198,2.1371,44165,82072
1997-03-19,11,49.06,23518,2.3871,76752,109056
1997-03-20,8,59907,27276,2.6443,90303,124.6
1997-03-21,8,57016,27764,2.5114,106917,139396
1997-03-22,9,48166,24232,2.1129,76265,81494
1997-03-23,8,56917,19516,2.1543,142313,96248
1997-03-24,9,77742,30918,3.6543,152877,197.16
1997-03-25,6,51.94,23.89,2.1371,68632,81957
1997-03-26,5,45997,20.8175,2.2683,54645,78788
1997-03-27,11,48741,20708,1.9171,71,82485
1997-03-28,7,39.83,12.3217,1.6057,64.71,46018
1997-03-29,4,39619,12.5633,1.1414,59508,54.98
1997-03-30,8,48.09,17.6483,1.7071,56723,70512
1997-03-31,8,52972,24.9483,3115,39005,115.22
1997-04-01,12,54.86,31106,4.3243,26508,90482
1997-04-02,7,52235,29696,4.48,41483,97822
1997-04-03,5,46.97,31378,4.3686,40287,97337
1997-04-04,8,53791,32.3083,4.5029,41.7,99312
1997-04-05,10,48.84,18.4983,2.91,53627,74557
1997-04-06,8,45581,15545,1.6986,46698,57778
1997-04-07,6,44422,19.4317,2.2283,50697,94262
1997-04-08,9,38735,17785,2.2871,34.88,79665
1997-04-09,7,38478,16702,2.1829,49038,82.16
1997-04-10,9,52687,26.62,2.4857,78542,111645
1997-04-11,9,81087,35.95,4.0671,84265,179.79
1997-04-12,15,83678,32.1517,5.1757,68.23,117707
1997-04-13,6,65324,22.2217,2.5729,115642,108835
1997-04-14,5,87096,39.69,4.0186,123844,223333
1997-04-15,12,83186,47.1,3.2657,118094,150702
1997-04-16,10,92515,39.8967,3.4371,105816,167842
1997-04-17,12,64572,30915,4.9329,37.68,109698
1997-04-18,10,55.98,35.3817,4.6571,34137,108538
1997-04-19,12,50361,30.7333,4.0743,47117,104892
1997-04-20,13,34508,16.0083,4.0457,29482,55325
1997-04-21,15,25518,8.3783,2.4914,56648,57.47
1997-04-22,13,43587,23.47,2.5914,67.25,111522
1997-04-23,8,43611,23.2567,2.7029,51313,96774
1997-04-24,11,66258,35.31,3.3229,63518,164328
1997-04-25,13,86661,56.9375,5424,57148,127406
1997-04-26,5,54765,19.21,3.5767,99184,98228
1997-04-27,11,56449,21482,1.76,101398,88054
1997-04-28,11,59217,38272,4.3857,56352,112895
1997-04-29,15,80285,31.99,4.3286,47723,137.22
1997-04-30,11,94.72,38894,4.4614,60547,192033
1997-05-01,7,77622,35068,4.0286,93168,123455
1997-05-02,10,99.1,37952,4.3114,75078,171.57
1997-05-03,10,94352,34.48,3.92,187628,207488
1997-05-04,11,47819,13238,1.7433,46495,57428
1997-05-05,16,49204,18076,2.7117,69562,105893
1997-05-06,10,67932,26076,2.8067,100464,125838
1997-05-07,8,75645,29384,2.9,79682,123.89
1997-05-08,6,82638,29.54,3.0843,115254,141288
1997-05-09,12,86515,32762,3.4214,143126,184342
1997-05-10,14,66237,20.39,2.2686,117814,103685
1997-05-11,16,61252,16794,1.9386,98692,80573
1997-05-12,9,83833,32278,4.3729,56.65,169797
1997-05-13,15,86794,29894,4.5257,51258,95358
1997-05-14,11,52832,18066,2.1371,39277,79578
1997-05-15,7,58889,24.29,2.56,35518,91068
1997-05-16,13,75808,34626,3.14,56316,120.59
1997-05-17,4,72283,25942,2.82,70.85,100143
1997-05-18,8,68508,21968,2555,68845,86822
1997-05-19,11,89022,36338,5625,65973,142265
1997-05-20,11,97534,41868,5.6671,49898,173.61
1997-05-21,11,83655,35846,4.99,54722,128422
1997-05-22,10,57398,20518,4.7571,28.04,85513
1997-05-23,16,46015,21068,3.0914,36.57,75623
1997-05-24,11,40832,12632,2.5657,23015,69.65
1997-05-25,12,27584,9768,2.1643,28878,63648
1997-05-26,9,57061,30838,3.1643,41977,126513
1997-05-27,14,62071,28804,4.08,56162,123163
1997-05-28,15,56925,27908,4.63,17455,93358
1997-05-29,12,26068,13.36,3.5357,34382,50398
1997-05-30,10,30139,14378,2.2417,32763,76015
1997-05-31,20,40348,15904,1.7414,35615,65315
1997-06-01,10,36697,19052,1.8214,39738,63245
1997-06-02,15,55647,28.82,2.9333,54013,108.94
1997-06-03,21,94481,43675,4.7367,32715,263738
1997-06-04,14,76791,38135,4.5633,29.5,99026
1997-06-05,17,50119,29.66,5.3017,11672,116136
1997-06-06,14,49438,28.8075,3.8733,19.89,83924
1997-06-07,23,40001,19.4825,3.4433,35962,73198
1997-06-08,21,39089,12.85,2.6183,40483,65806
1997-06-09,20,70492,37.4125,3.2767,103912,165.1
1997-06-10,20,93601,43.7375,5.0533,79698,197754
1997-06-11,24,100.32,51.71,5.9029,42.73,198013
1997-06-12,25,62301,33.6725,5.9,30.14,98.64
1997-06-13,27,98207,40542,6.9129,44012,233888
1997-06-14,19,51818,19676,5.5929,11765,70735
1997-06-15,21,26649,10124,2.7971,20408,50135
1997-06-16,19,39219,21742,3.4129,27487,84.95
1997-06-17,15,66.67,39194,5.2214,17257,95665
1997-06-18,24,78975,34892,4.6557,58703,122525
1997-06-19,26,73343,34072,4.4943,37255,159142
1997-06-20,15,61.89,29.61,6.6883,16.25,105.24
1997-06-21,18,61948,30162,5.8957,28343,82792
1997-06-22,23,52478,25422,4.9257,33602,73.21
1997-06-23,21,66561,31.17,4.42,41345,140.36
1997-06-24,26,68869,33.78,5.4386,41792,109957
1997-06-25,24,104533,45906,6.3129,51093,165477
1997-06-26,20,84055,35272,5.8886,52035,129.22
1997-06-27,17,68881,35.0775,4.4086,30202,117908
1997-06-28,12,48419,16012,3.4443,18512,103207
1997-06-29,23,37816,10946,3.4729,24912,91468
1997-06-30,21,36307,16766,2.5657,26217,97215
1997-07-01,12,48633,14.24,2.9986,22218,80288
1997-07-02,13,73087,24305,5.2543,38105,128737
1997-07-03,22,76176,22935,6.2714,37652,102668
1997-07-04,17,77469,25.6183,6.0443,31892,103.89
1997-07-05,20,49072,13654,3.0833,35874,68956
1997-07-06,23,60571,14262,5.5086,57,93508
1997-07-07,29,88018,18.8117,5.8171,67002,203.18
1997-07-08,10,75884,17.44,2.7114,71668,127882
1997-07-09,11,90038,17.1317,5.0829,75.18,124.96
1997-07-10,12,123753,30.4267,7.1714,55273,197505
1997-07-11,13,102706,16798,7.6229,53582,169213
1997-07-12,14,69534,9.04,2.6757,50825,114825
1997-07-13,12,64483,9342,4.78,61735,112817
1997-07-14,21,105808,27814,6.7771,46423,158795
1997-07-15,15,147408,37.2567,7.7257,55678,256608
1997-07-16,10,141655,29.21,8.4071,39.57,154898
1997-07-17,18,129638,26665,7.5186,32143,268765
1997-07-18,10,66744,13705,3.1729,33947,97188
1997-07-19,12,74961,15515,5.57,50.4,104833
1997-07-20,10,97178,17125,7.5229,39147,103375
1997-07-21,13,59059,13.44,3.7686,14.33,87123
1997-07-22,12,57236,18495,3.51,39908,110227
1997-07-23,12,56497,15.4467,3.05,40873,83377
1997-07-24,13,46959,14.8167,2.1271,34317,76888
1997-07-25,11,51331,16.29,2.2857,61033,89534
1997-07-26,12,53974,11055,1.9814,96.51,103272
1997-07-27,12,82355,15.4683,4.5957,95445,175628
1997-07-28,17,132.24,34.9633,7.78,75692,218022
1997-07-29,13,145888,31.7367,8.3971,65947,241665
1997-07-30,14,121795,28.7183,7.9186,46703,261512
1997-07-31,11,103952,27.2633,6.7429,56825,162868
1997-08-01,14,147259,31.5467,8.0329,62283,244417
1997-08-02,14,148.15,25.4667,9.4543,85143,240343
1997-08-03,13,106487,18.8667,3.6814,44676,125113
1997-08-04,13,59158,17.5067,3.6333,26.1,114758
1997-08-05,8,26879,6.3267,2.0343,20.1,70467
1997-08-06,9,49602,12.9017,2.3757,48688,114278
1997-08-07,10,72233,19.8567,5.2057,46986,138953
1997-08-08,11,30158,4884,4.4971,24.7,70853
1997-08-09,10,26222,3346,1.6071,31588,63092
1997-08-10,12,32.48,8274,1.67,37992,61348
1997-08-11,12,55688,16038,3.43,78.6,192358
1997-08-12,15,91812,20834,4.6043,83182,239195
1997-08-13,18,86.09,16.6,4.0529,110302,174798
1997-08-14,13,84432,20652,3785,91383,179497
1997-08-15,18,111227,29.85,8.1867,72166,212593
1997-08-16,9,121726,32836,10.1414,73994,170458
1997-08-17,16,123306,28.0075,11.4429,74453,181198
1997-08-18,7,99497,24135,6.8429,56038,155752
1997-08-19,8,97834,22.6425,6.9486,61.26,167905
1997-08-20,16,102022,16425,7.1114,52225,152728
1997-08-21,10,95109,11.33,3.9829,31052,155172
1997-08-22,13,92098,16456,3.8857,94108,191698
1997-08-23,13,52441,7104,3.8117,27792,108383
1997-08-24,13,29449,5382,3.7467,23.68,71907
1997-08-25,16,40437,12248,2.0786,43222,95.76
1997-08-26,12,52875,13856,2.4786,69293,131.63
1997-08-27,7,77113,21498,3.68,102342,167585
1997-08-28,14,95.22,31822,4.4586,81238,164228
1997-08-29,9,107661,30.5083,4.4414,126477,219.08
1997-08-30,9,110963,21465,4.0586,143262,215895
1997-08-31,10,90646,14.6983,4.8214,112105,159.34
1997-09-01,10,108549,25395,5.3486,86703,383575
1997-09-02,13,120765,35.97,6.82,86957,399.56
1997-09-03,14,132792,39.9367,5.6371,79442,252735
1997-09-04,14,152976,28395,7.1871,73697,300632
1997-09-05,14,97191,18844,4.9233,47175,191612
1997-09-06,13,45955,9376,3.8514,45505,90858
1997-09-07,17,59144,8.1,2.6886,71523,110707
1997-09-08,8,103.65,26.36,8.3429,74543,191117
1997-09-09,13,150489,30812,9.5586,85958,188527
1997-09-10,10,50485,7.3575,5.9014,35563,118914
1997-09-11,9,34.41,10.33,1.7943,24078,72.39
1997-09-12,14,70961,18494,4.1833,60018,133568
1997-09-13,13,113717,15.4683,4.3357,60667,125287
1997-09-14,11,49659,6.39,3.7429,63622,80158
1997-09-15,10,31075,6436,2.5343,19893,84325
1997-09-16,8,49359,14002,1.8157,37497,74.68
1997-09-17,15,57112,18772,2.97,123975,180442
1997-09-18,10,50922,13112,2.4967,37078,77163
1997-09-19,10,58824,13306,2.4567,78942,120113
1997-09-20,17,49925,6.02,2.7367,36168,137544
1997-09-21,9,26588,4234,2824,39.94,78437
1997-09-22,10,31229,4078,2556,35603,74465
1997-09-23,9,51678,12.9433,2866,39.02,104.32
1997-09-24,13,65747,16068,4.2,78778,148682
1997-09-25,9,63.89,11965,3.99,59982,144078
1997-09-26,8,30816,8.8033,2.66,18468,75146
1997-09-27,13,31636,8.5733,2.4217,28925,62.04
1997-09-28,11,43714,9.7667,2.9633,64836,99775
1997-09-29,18,50599,10452,3.6467,42.1,189.3
1997-09-30,17,42955,10852,2.8333,44.7,114677
1997-10-01,13,50017,7124,4894,30.79,137082
1997-10-02,10,38517,10.64,3685,41345,91.3
1997-10-03,5,31633,13268,1.9786,28712,69593
1997-10-04,10,53426,11784,2.6257,88865,111988
1997-10-05,15,60812,11792,3.0029,65042,99533
1997-10-06,11,47041,7.2475,3.44,34524,88.19
1997-10-07,9,33326,9678,2.0686,25925,64242
1997-10-08,12,36.52,12796,2.6257,21357,69013
1997-10-09,7,64078,15.69,3.8643,98165,138105
1997-10-10,10,91945,23266,5.4971,114323,199203
1997-10-11,16,63475,10368,4.7829,64922,113353
1997-10-12,9,73376,10462,2.7786,138977,94.92
1997-10-13,11,74875,12.11,3.2214,146143,202022
1997-10-14,10,60325,9854,2.4114,93.43,111342
1997-10-15,17,74832,14832,3.7914,70105,152.23
1997-10-16,9,51412,9.7,3.5243,18598,93893
1997-10-17,13,39619,8514,2.0986,28482,59603
1997-10-18,5,33381,9518,1.6657,31996,51217
1997-10-19,13,39523,7.25,1.4371,71.61,57307
1997-10-20,2,35556,5.9125,2.8871,26.16,66313
1997-10-21,9,48199,12.08,5.2043,13805,95498
1997-10-22,8,40562,6.9625,5.2657,21765,64.8
1997-10-23,9,34541,5495,2.0857,39247,69928
1997-10-24,12,53411,13355,3.8814,56415,122685
1997-10-25,12,73364,16574,3.9043,73345,125353
1997-10-26,5,43218,5.8725,2.5129,53282,75077
1997-10-27,14,53001,8465,2.2086,66826,101.19
1997-10-28,7,69322,15222,4.6686,77314,175943
1997-10-29,13,81587,19.6,5.0629,72323,163917
1997-10-30,15,51601,6.7867,2.5729,57043,105775
1997-10-31,11,61688,7.6425,3.1586,85555,136287
1997-11-01,11,63134,7.31,3.5986,64093,99568
1997-11-02,3,42499,5754,3.2343,62247,89945
1997-11-03,9,51655,8.82,3.8443,90183,134368
1997-11-04,12,37531,10.9,2.07,26543,65298
1997-11-05,10,47737,10016,2.2971,37788,68137
1997-11-06,9,67961,12302,3.8643,58167,156458
1997-11-07,15,63308,9424,3.8257,69453,143658
1997-11-08,10,43653,6542,2815,96.83,77992
1997-11-09,13,50565,10506,2155,104495,78028
1997-11-10,12,99133,20.82,3435,130215,167342
1997-11-11,8,98228,20328,5.2917,108818,224103
1997-11-12,12,72944,12114,5.3357,81462,146037
1997-11-13,13,79685,14035,4.17,70613,117792
1997-11-14,13,48871,10.5667,4.0683,48832,88.13
1997-11-15,11,26877,7.1533,1.8517,28943,58676
1997-11-16,7,37922,5.7367,2.3433,71332,83636
1997-11-17,8,50927,7.3667,4.3083,63782,183.09
1997-11-18,9,37668,6.47,4.4867,25778,95068
1997-11-19,8,32051,9.97,2.4783,27848,66.38
1997-11-20,8,43319,12765,2605,54376,85475
1997-11-21,9,54.37,14035,3.9471,48268,111.02
1997-11-22,7,47938,8295,3.5571,68817,88157
1997-11-23,10,46672,5.8525,2.7686,60195,77.74
1997-11-24,7,40365,9915,3.8114,56587,102698
1997-11-25,16,38898,8.45,2.32,38115,72878
1997-11-26,12,42872,8.5575,2.8729,29688,67478
1997-11-27,16,45472,12395,3.6771,31098,75.42
1997-11-28,14,37075,9.71,3.3367,32322,80.65
1997-11-29,10,43873,11205,2.1383,46947,54356
1997-11-30,10,39691,8.5,1.6017,69562,57.72
1997-12-01,8,52262,10.7,4.2567,36702,93342
1997-12-02,10,40948,6925,4205,22.5,71336
1997-12-03,11,53832,15.7875,3.74,50.4,91714
1997-12-04,6,61694,10.5875,4.6043,31474,112.36
1997-12-05,5,65241,18.4975,3.9471,179746,202098
1997-12-06,5,64922,16.5625,3.2186,69088,87.69
1997-12-07,8,46218,9.7875,2.3843,45725,79782
1997-12-08,7,48568,10245,3.0114,48202,81822
1997-12-09,8,58278,13.52,2.7043,134107,141.91
1997-12-10,9,51662,16.04,2.3886,81.61,116327
1997-12-11,11,59873,14.8925,2.32,86.06,108252
1997-12-12,13,67465,14.3825,3.2071,65002,129.45
1997-12-13,12,47408,6.6525,3.8157,34165,85002
1997-12-14,13,32588,5.8,3.2986,34.67,54388
1997-12-15,6,35633,7.3367,3.3,27238,66273
1997-12-16,10,49994,11.53,3.2729,84.33,110117
1997-12-17,9,35432,9.4833,1.8714,30.14,55.46
1997-12-18,9,44781,10.8825,2.9071,46348,92.12
1997-12-19,11,45595,11.85,3.5743,39985,102803
1997-12-20,8,41559,10565,3.58,44217,72948
1997-12-21,17,37005,6.05,3.2033,52752,69305
1997-12-22,17,52238,8.2825,3.9433,45618,117145
1997-12-23,8,50731,9108,3.8229,50732,85687
1997-12-24,9,54308,7334,3.4229,153115,148.45
1997-12-25,11,40713,5.31,1.56,93538,55442
1997-12-26,14,46513,5302,2.2143,68305,84.23
1997-12-27,15,38002,5528,2.1571,49807,63.95
1997-12-28,18,32869,4.02,1.8914,43913,53817
1997-12-29,24,37888,6748,2.9,69402,101205
1997-12-30,21,52.08,6775,3.1086,62876,96364
1997-12-31,15,40815,4.7075,2.6617,128692,102865
