Time,temperatura,umidade
1997-01-01,18.4,78.58
1997-01-02,17.4,77.63
1997-01-03,17.1,78.56
1997-01-04,16.6,85.52
1997-01-05,15.8,83.36
1997-01-06,18.5,83.6
1997-01-07,17.3,79.85
1997-01-08,18.7,80.14
1997-01-09,19.6,80.9
1997-01-10,19.1,87.69
1997-01-11,18.9,86.85
1997-01-12,19.6,86
1997-01-13,19.5,83.76
1997-01-14,19.7,89.09
1997-01-15,20.8,88.92
1997-01-16,19.5,93.4
1997-01-17,18.5,84.54
1997-01-18,18.6,78.9
1997-01-19,17.8,77.38
1997-01-20,19.5,82.29
1997-01-21,19.4,87.36
1997-01-22,19.7,83.46
1997-01-23,19.4,86.51
1997-01-24,18.9,85.95
1997-01-25,18.9,86.38
1997-01-26,19,92.48
1997-01-27,18.6,94.45
1997-01-28,18.8,87.75
1997-01-29,19.6,81.21
1997-01-30,19.5,77.47
1997-01-31,19.5,76.79
1997-02-01,20,71.88
1997-02-02,19.4,80.4
1997-02-03,18.9,80.98
1997-02-04,18.2,78.05
1997-02-05,19,74.75
1997-02-06,17.3,79.38
1997-02-07,18.7,80.65
1997-02-08,18.1,77.52
1997-02-09,18.5,79.02
1997-02-10,17.1,81.86
1997-02-11,17.4,79.74
1997-02-12,18,85.22
1997-02-13,17,81.98
1997-02-14,18.1,78.24
1997-02-15,19,86.21
1997-02-16,18.6,89.86
1997-02-17,17.2,82.98
1997-02-18,19.2,83.43
1997-02-19,18.3,71.75
1997-02-20,21.1,70.63
1997-02-21,19.1,87.81
1997-02-22,20.1,81.47
1997-02-23,19,85.07
1997-02-24,19.3,86.91
1997-02-25,19,83.89
1997-02-26,17.3,79.88
1997-02-27,18.4,80.9
1997-02-28,17.3,85.37
1997-03-01,17.1,80.27
1997-03-02,15.4,80.61
1997-03-03,17.4,85.91
1997-03-04,16.1,84.09
1997-03-05,18.2,85.37
1997-03-06,18.2,83.63
1997-03-07,18.9,79.66
1997-03-08,18,81.97
1997-03-09,19.3,82.3
1997-03-10,17.8,80.65
1997-03-11,18.8,80.66
1997-03-12,18.3,71.64
1997-03-13,18.4,77.24
1997-03-14,18.4,83.28
1997-03-15,18.3,89.95
1997-03-16,17.5,88.57
1997-03-17,16.8,82.27
1997-03-18,15.6,83.4
1997-03-19,16,78.75
1997-03-20,17.3,81.99
1997-03-21,16.9,80.96
1997-03-22,14,80.24
1997-03-23,14.4,83.51
1997-03-24,15.6,81.12
1997-03-25,16.9,79.88
1997-03-26,17.2,80.21
1997-03-27,16.1,76.59
1997-03-28,13.6,77.97
1997-03-29,14.6,74.61
1997-03-30,13,81.62
1997-03-31,16.3,86.79
1997-04-01,17.6,86.16
1997-04-02,18,79.6
1997-04-03,18.1,74.37
1997-04-04,17.6,70.21
1997-04-05,14.8,83.69
1997-04-06,14.9,83.39
1997-04-07,14.4,84.05
1997-04-08,14.2,84.47
1997-04-09,15,81.89
1997-04-10,11.8,79.26
1997-04-11,12.2,79.87
1997-04-12,14.3,78.17
1997-04-13,13.2,74.79
1997-04-14,14.4,75.47
1997-04-15,13.3,79.23
1997-04-16,14.4,82.87
1997-04-17,17.6,84.63
1997-04-18,17,81.83
1997-04-19,16,75.35
1997-04-20,16.2,84.37
1997-04-21,16.3,89.58
1997-04-22,16.4,83.62
1997-04-23,15.2,84.07
1997-04-24,15.7,81.49
1997-04-25,14.3,71.58
1997-04-26,14.6,82.96
1997-04-27,13.3,85.66
1997-04-28,15.8,64.43
1997-04-29,11.8,63.88
1997-04-30,14.3,75.06
1997-05-01,14.4,74.41
1997-05-02,14.4,71.72
1997-05-03,14.4,78.2
1997-05-04,16.8,85.5
1997-05-05,15.4,82.1
1997-05-06,13.8,83.85
1997-05-07,11.2,82.51
1997-05-08,14.6,81.12
1997-05-09,13.3,84.9
1997-05-10,14.8,82.27
1997-05-11,14,82.7
1997-05-12,13.7,79.16
1997-05-13,12.6,83.28
1997-05-14,13,83.53
1997-05-15,12.6,78.72
1997-05-16,12.3,82.12
1997-05-17,13.1,82.21
1997-05-18,13,80.18
1997-05-19,13.5,77.14
1997-05-20,12.8,72.47
1997-05-21,13.3,66.43
1997-05-22,15,76.07
1997-05-23,11.8,84.41
1997-05-24,13.8,91.48
1997-05-25,11.2,93.66
1997-05-26,10.6,88.38
1997-05-27,11.4,82.93
1997-05-28,12.3,92.75
1997-05-29,11,83.53
1997-05-30,10.6,93.76
1997-05-31,10.8,89.74
1997-06-01,8.6,87.93
1997-06-02,6.5,85.07
1997-06-03,8.2,88.29
1997-06-04,12.4,89.33
1997-06-05,14.4,94.8
1997-06-06,14.1,83.59
1997-06-07,11.5,67.23
1997-06-08,5.6,60.36
1997-06-09,7.2,75.11
1997-06-10,9.5,83.02
1997-06-11,7.9,71.93
1997-06-12,14.5,79.89
1997-06-13,11.6,78.99
1997-06-14,14.4,88.19
1997-06-15,14.5,89.59
1997-06-16,12,68.11
1997-06-17,10.9,73.99
1997-06-18,10.2,86.45
1997-06-19,13.2,77.2
1997-06-20,12.4,95.31
1997-06-21,13.1,79.76
1997-06-22,14.6,74.54
1997-06-23,13.8,70.38
1997-06-24,14.7,69.92
1997-06-25,12.7,72
1997-06-26,14.7,64.8
1997-06-27,13.3,80.02
1997-06-28,12.6,94.88
1997-06-29,13.5,95.11
1997-06-30,12.1,95.5
1997-07-01,11.8,95.48
1997-07-02,13,77.92
1997-07-03,15.4,66.34
1997-07-04,14.6,71.08
1997-07-05,12,86.3
1997-07-06,13.2,78.48
1997-07-07,14.9,83.21
1997-07-08,14.8,80.78
1997-07-09,13.2,77.51
1997-07-10,12.2,74.37
1997-07-11,11.5,75.01
1997-07-12,12.8,88.97
1997-07-13,13.9,75.05
1997-07-14,12,71.21
1997-07-15,10.4,73.24
1997-07-16,11.8,72.28
1997-07-17,13.4,86.92
1997-07-18,12.6,91.51
1997-07-19,14.8,72.66
1997-07-20,12.6,80.08
1997-07-21,12.8,90.29
1997-07-22,11.8,79.24
1997-07-23,12.8,81.73
1997-07-24,13,85.51
1997-07-25,12.5,82
1997-07-26,10.2,81.25
1997-07-27,11.6,79.79
1997-07-28,8.6,75.05
1997-07-29,9.3,70.84
1997-07-30,10,66.34
1997-07-31,13.2,58.46
1997-08-01,11.5,64.16
1997-08-02,11.6,70.7
1997-08-03,13.4,61.7
1997-08-04,15.1,76.67
1997-08-05,11.9,94.87
1997-08-06,12.8,86.6
1997-08-07,14.2,73.86
1997-08-08,10.4,93.46
1997-08-09,9.4,88.26
1997-08-10,6.6,83.4
1997-08-11,8.3,80.34
1997-08-12,7.8,74.79
1997-08-13,9.6,82.8
1997-08-14,11,78.83
1997-08-15,10.6,69.1
1997-08-16,11.6,60.38
1997-08-17,11,62.11
1997-08-18,11.4,63.67
1997-08-19,12.6,57.02
1997-08-20,12.4,61.18
1997-08-21,9.5,88.23
1997-08-22,14.8,85.77
1997-08-23,15.5,92.28
1997-08-24,14.3,89.11
1997-08-25,11.8,80.56
1997-08-26,11.2,81.11
1997-08-27,12.4,78.78
1997-08-28,10.4,69.36
1997-08-29,11,74.83
1997-08-30,11.6,82.31
1997-08-31,12.2,71.9
1997-09-01,10.6,62.99
1997-09-02,11.3,57.89
1997-09-03,12.2,56.47
1997-09-04,14.4,61.58
1997-09-05,16.8,82.25
1997-09-06,13.9,82.67
1997-09-07,14.5,80.51
1997-09-08,13.4,64.19
1997-09-09,15.9,53.34
1997-09-10,14,91.15
1997-09-11,12.3,90.51
1997-09-12,10.8,84.46
1997-09-13,14.2,70.23
1997-09-14,18.2,79.39
1997-09-15,13.6,95.48
1997-09-16,12.8,83.16
1997-09-17,13.2,77.52
1997-09-18,11.8,85.64
1997-09-19,13.5,83.17
1997-09-20,15,95.33
1997-09-21,15,87.29
1997-09-22,13.6,92.23
1997-09-23,13.2,87.41
1997-09-24,14.8,73.61
1997-09-25,14.5,88.55
1997-09-26,14.3,95.04
1997-09-27,14,90.89
1997-09-28,15.5,81.73
1997-09-29,13.9,92.22
1997-09-30,17,89.41
1997-10-01,17.9,93.84
1997-10-02,14,74.43
1997-10-03,12.4,87.17
1997-10-04,12.5,78.8
1997-10-05,15.6,68.98
1997-10-06,14.8,92.97
1997-10-07,14.5,91.49
1997-10-08,15.1,92.36
1997-10-09,15.6,83.86
1997-10-10,16.4,73.6
1997-10-11,18,78.7
1997-10-12,16.1,79.08
1997-10-13,17.1,76.94
1997-10-14,18.3,83.98
1997-10-15,18.1,77.31
1997-10-16,15.1,91.12
1997-10-17,13.4,91.59
1997-10-18,13,85.02
1997-10-19,13.4,85.31
1997-10-20,15.4,94.03
1997-10-21,15.8,95.79
1997-10-22,15.2,88.52
1997-10-23,15.7,87.88
1997-10-24,16.3,75.99
1997-10-25,16.9,85.64
1997-10-26,15.9,88.25
1997-10-27,15.9,82.37
1997-10-28,16.9,74.24
1997-10-29,18.9,72.74
1997-10-30,19,89.33
1997-10-31,18.8,85.8
1997-11-01,18.2,81.63
1997-11-02,18.2,75.91
1997-11-03,19.6,80.58
1997-11-04,18,89.97
1997-11-05,18.9,90.18
1997-11-06,19,81.97
1997-11-07,19.7,86.81
1997-11-08,18.7,83.98
1997-11-09,16.9,72.96
1997-11-10,18.1,81.23
1997-11-11,20.1,70.34
1997-11-12,20.2,73.6
1997-11-13,20.8,79.52
1997-11-14,16.3,90.09
1997-11-15,16.1,93.37
1997-11-16,17.2,93.43
1997-11-17,19,92.83
1997-11-18,16.2,94.42
1997-11-19,16.1,93.81
1997-11-20,15.8,89.25
1997-11-21,18,79.98
1997-11-22,19,84.09
1997-11-23,19.8,87.86
1997-11-24,18.7,85.8
1997-11-25,18.6,87.73
1997-11-26,18.4,85.59
1997-11-27,20.1,85.59
1997-11-28,15.1,90.74
1997-11-29,13.5,83.5
1997-11-30,16.1,83.44
1997-12-01,17.7,87.22
1997-12-02,18,88.49
1997-12-03,16.6,77.86
1997-12-04,17.4,91.9
1997-12-05,16.2,76.72
1997-12-06,16.6,78.89
1997-12-07,18.8,83.08
1997-12-08,18.5,86.93
1997-12-09,16.2,80.81
1997-12-10,15.4,77.76
1997-12-11,16,83.11
1997-12-12,18.2,86.19
1997-12-13,19.7,87.2
1997-12-14,19.4,79.73
1997-12-15,20,80.95
1997-12-16,16.2,84.79
1997-12-17,16.2,83.72
1997-12-18,16.5,90.38
1997-12-19,17.9,77
1997-12-20,18.6,71.04
1997-12-21,20.1,77.29
1997-12-22,19.1,69.47
1997-12-23,21.1,64.53
1997-12-24,21.1,82.92
1997-12-25,20.8,83.12
1997-12-26,20.7,77.15
1997-12-27,21.2,69.42
1997-12-28,20.3,78.35
1997-12-29,19.2,75.47
1997-12-30,21.6,71.41
1997-12-31,19.8,79.94
